level_1,level_2,level_3,level_4,level_3_final,level_4_final,agency,agency_name,agency_display,agency_display_abbreviation,bureau,bureau_citation_display,bureau_display,bureau_display_abbreviation,program,value
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Judicial Retirement Funds,Judicial Retirement Funds,Judicial Retirement Funds,,Federal Payment to Judicial Survivors Annuities Fund,-24837060.700000003
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Judicial Retirement Funds,Judicial Retirement Funds,Judicial Retirement Funds,,Federal Payment to Judicial Officers Retirement Fund,-213025559.10000002
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Judicial Retirement Funds,Judicial Retirement Funds,Judicial Retirement Funds,,Federal Payment to Claims Court Judges' Retirement Fund,-2865814.696
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,United States Sentencing Commission,United States Sentencing Commission,United States Sentencing Commission,,Salaries and Expenses,22179407.18
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Department of Justice,Department of Justice,Department of Justice,,"Fees for Bankruptcy Oversight, U.S. Trustees System",-230125628.1
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, General Legal Activities",696628417.3
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, General Legal Activities",-2584892.0859999997
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,Fees and Expenses of Witnesses,250612656.5
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, Antitrust Division",42087621.7
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, United States Attorneys",2667953744.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, United States Marshals Service",1837698780.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, United States Marshals Service",6698780.488
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,Independent Counsel,9565368.567
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Salaries and Expenses, Community Relations Service",19130737.130000003
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,Federal Prisoner Detention,2178990960.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,"Justice Prisoner and Alien Transportation System Fund, U.S. Marshals",-13397560.98
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,Assets Forfeiture Fund,1279795501.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,United States Trustee System Fund,236264603.6
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,District of Columbia,District of Columbia,District of Columbia,,District of Columbia Courts,District of Columbia Courts,District of Columbia Courts,,Federal Payment to the District of Columbia Judicial Retirement and Survivors Annuity Fund,24631901.84
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,District of Columbia,District of Columbia,District of Columbia,,District of Columbia Courts,District of Columbia Courts,District of Columbia Courts,,"Federal Payments, D.C. Judicial Retirement and Survivors Annuity",-24631901.84
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Legal Services Corporation,Legal Services Corporation,Legal Services Corporation,,Legal Services Corporation,Legal Services Corporation,Legal Services Corporation,,Payment to the Legal Services Corporation,560000000.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,,Federal Payment to the Court Services and Offender Supervision Agency for the District of Columbia,285307537.7
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Public Defender Service for the District of Columbia,Public Defender Service for the District of Columbia,Public Defender Service for the District of Columbia,,Public Defender Service for the District of Columbia,Public Defender Service for the District of Columbia,Public Defender Service for the District of Columbia,,Federal Payment to the District of Columbia Public Defender Service,64494807.370000005
Spending,Safety,Crime and Disaster,Corrections,Crime and Disaster,Corrections,Department of Justice,Department of Justice,Department of Justice,,Federal Prison System,Federal Prison System,Federal Prison System,,Buildings and Facilities,96225405.92
Spending,Safety,Crime and Disaster,Corrections,Crime and Disaster,Corrections,Department of Justice,Department of Justice,Department of Justice,,Federal Prison System,Federal Prison System,Federal Prison System,,Salaries and Expenses,9053837631.0
Spending,Safety,Crime and Disaster,Corrections,Crime and Disaster,Corrections,Department of Justice,Department of Justice,Department of Justice,,Federal Prison System,Federal Prison System,Federal Prison System,,"Federal Prison Industries, Incorporated",-49734479.47
Spending,Safety,Crime and Disaster,Corrections,Crime and Disaster,Corrections,Department of Justice,Department of Justice,Department of Justice,,Federal Prison System,Federal Prison System,Federal Prison System,,"Commissary Funds, Federal Prisons (Trust Revolving Fund)",-46490926.46
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Commerce,Department of Commerce,Department of Commerce,,National Telecommunications and Information Administration,National Telecommunications and Information Administration,National Telecommunications and Information Administration,,First Responder Network Authority,-100537383.2
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Department of Justice,Department of Justice,Department of Justice,,"Diversion Control Fee Account, DEA",-629874371.9
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Department of Justice,Department of Justice,Department of Justice,,"Diversion Control Fee OGV Proceeds, DEA",-1080402.01
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Department of Justice,Department of Justice,Department of Justice,,"Gifts and Bequests, Gift Fund",-1471428.571
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability",,Salaries and Expenses,153313773.4
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability",,Justice Information Sharing Technology,76071719.64
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability",,Office of Inspector General,159165444.2
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability",,Executive Office for Immigration Review,949140994.3000001
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability","Justice Operations, Management, and Accountability",,Working Capital Fund,98308068.46
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,United States Parole Commission,United States Parole Commission,United States Parole Commission,,Salaries and Expenses,9462130.936999999
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,Construction,12434979.139999999
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,Victims Compensation Fund,1141229856.0
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,Legal Activities and U.S. Marshals,,United States Victims of State Sponsored Terrorism Fund,1757080396.0
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Interagency Law Enforcement,Interagency Law Enforcement,Interagency Law Enforcement,,Organized Crime and Drug Enforcement Task Forces,576138639.3000001
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,National Security Division,National Security Division,National Security Division,,Salaries and Expenses,121956354.30000001
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Federal Bureau of Investigation,Federal Bureau of Investigation,Federal Bureau of Investigation,,Salaries and Expenses,3766396759.0
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Federal Bureau of Investigation,Federal Bureau of Investigation,Federal Bureau of Investigation,,Salaries and Expenses,66972338.64
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Federal Bureau of Investigation,Federal Bureau of Investigation,Federal Bureau of Investigation,,Construction,272141566.5
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Drug Enforcement Administration,Drug Enforcement Administration,Drug Enforcement Administration,,Salaries and Expenses,2644077099.0
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Drug Enforcement Administration,Drug Enforcement Administration,Drug Enforcement Administration,,Salaries and Expenses,48689970.6
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,Drug Enforcement Administration,Drug Enforcement Administration,Drug Enforcement Administration,,Diversion Control Fee Account,547232930.4
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Bureau of Alcohol, Tobacco, Firearms, and Explosives","Bureau of Alcohol, Tobacco, Firearms, and Explosives","Bureau of Alcohol, Tobacco, Firearms, and Explosives",,Salaries and Expenses,1743276623.0
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"Bureau of Alcohol, Tobacco, Firearms, and Explosives","Bureau of Alcohol, Tobacco, Firearms, and Explosives","Bureau of Alcohol, Tobacco, Firearms, and Explosives",,Salaries and Expenses,7723377.442
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,"Research, Evaluation, and Statistics",11883185.84
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,Public Safety Officer Benefits,17164601.77
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,Public Safety Officer Benefits,264070796.5
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,State and Local Law Enforcement Assistance,178362392.3
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,Community Oriented Policing Services,46386430.68
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,Violence against Women Prevention and Prosecution Programs,-11883185.84
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Department of Justice,Department of Justice,Department of Justice,,"State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance","State, Local, and Tribal Justice Assistance",,Crime Victims Fund,227204301.10000002
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Administrative Conference of the United States,Administrative Conference of the United States,Administrative Conference of the United States,,Administrative Conference of the United States,Administrative Conference of the United States,Administrative Conference of the United States,,Salaries and Expenses,3279396.985
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Access Board,Access Board,Access Board,,Access Board,Access Board,Access Board,,Salaries and Expenses,9838190.955
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Commission on Civil Rights,Commission on Civil Rights,Commission on Civil Rights,,Commission on Civil Rights,Commission on Civil Rights,Commission on Civil Rights,,Salaries and Expenses,14210720.27
Spending,Safety,Crime and Disaster,Law Enforcement,Crime and Disaster,Law Enforcement,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,,Salaries and Expenses,431856502.2
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,,Salaries and Expenses,158504187.6
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,,Salaries and Expenses,18583249.58
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Securities and Exchange Commission,Securities and Exchange Commission,Securities and Exchange Commission,,Securities and Exchange Commission,Securities and Exchange Commission,Securities and Exchange Commission,,Salaries and Expenses,-124077181.2
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Securities and Exchange Commission,Securities and Exchange Commission,Securities and Exchange Commission,,Securities and Exchange Commission,Securities and Exchange Commission,Securities and Exchange Commission,,Securities and Exchange Commission Reserve Fund,109479865.8
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Securities and Exchange Commission,Securities and Exchange Commission,Securities and Exchange Commission,,Securities and Exchange Commission,Securities and Exchange Commission,Securities and Exchange Commission,,Investor Protection Fund,783389261.7
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Securities Investor Protection Corporation,Securities Investor Protection Corporation,Securities Investor Protection Corporation,,Securities Investor Protection Corporation,Securities Investor Protection Corporation,Securities Investor Protection Corporation,,Securities Investor Protection Corporation,179273701.8
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,,Bureau of Consumer Financial Protection Fund,1022027451.0
Spending,Safety,Safeguarding Consumers and Employees,Consumer Protection,Safeguarding Consumers and Employees,Consumer Protection,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,,Consumer Financial Civil Penalty Fund,218220915.0
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Office of Workers' Compensation Programs,Office of Workers' Compensation Programs,Office of Workers' Compensation Programs,,Salaries and Expenses,120000000.0
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Office of Workers' Compensation Programs,Office of Workers' Compensation Programs,Office of Workers' Compensation Programs,,Salaries and Expenses,5000000.0
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Wage and Hour Division,Wage and Hour Division,Wage and Hour Division,,Salaries and Expenses,266874598.1
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Wage and Hour Division,Wage and Hour Division,Wage and Hour Division,,Salaries and Expenses,9202572.347
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Wage and Hour Division,Wage and Hour Division,Wage and Hour Division,,H-1 B and L Fraud Prevention and Detection,42945337.62
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Occupational Safety and Health Administration,Occupational Safety and Health Administration,Occupational Safety and Health Administration,,Salaries and Expenses,446000000.0
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Occupational Safety and Health Administration,Occupational Safety and Health Administration,Occupational Safety and Health Administration,,Salaries and Expenses,23000000.0
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Mine Safety and Health Administration,Mine Safety and Health Administration,Mine Safety and Health Administration,,Salaries and Expenses,377090680.1
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Mine Safety and Health Administration,Mine Safety and Health Administration,Mine Safety and Health Administration,,Salaries and Expenses,6964735.516
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Office of Federal Contract Compliance Programs,Office of Federal Contract Compliance Programs,Office of Federal Contract Compliance Programs,,Salaries and Expenses,113187192.1
Spending,Safety,Safeguarding Consumers and Employees,Employee Protection,Safeguarding Consumers and Employees,Employee Protection,Department of Labor,Department of Labor,Department of Labor,,Office of Labor Management Standards,Office of Labor Management Standards,Office of Labor Management Standards,,Salaries and Expenses,46906403.94
